HIP 	HD 	V 	UT of observation 	JD 	RV 	          log R'_HK
		(mag) 	(Y-M-D/H:M:S) 	(days) 	(km s-1)
		
		
		

1954 	2071 	7.27 	2011-01-03/02:54:00 	2 455 564.62303 	6.65 ± 0.22 	-4.931
3203 	3821A 	7.02 	2011-06-24/06:32:18 	2 455 736.77700 	11.99 ± 0.55 	-4.508
4909 	6204 	8.51 	2011-06-24/07:03:30 	2 455 736.79732 	-3.21 ± 0.46 	-4.522
5301 	6718 	8.44 	2011-09-09/01:39:13 	2 455 813.57328 	34.38 ± 0.24 	-4.962
6407 	8291 	8.62 	2011-01-04/01:05:54 	2 455 565.54735 	6.49 ± 0.29 	-4.740
7585 	9986 	6.77 	2011-09-09/02:56:32 	2 455 813.62749 	-20.90 ± 0.31 	-4.895
8507 	11195 	8.90 	2011-09-09/03:29:09 	2 455 813.65023 	-9.58 ± 0.75 	-4.908
9349 	12264 	7.99 	2011-09-09/04:01:34 	2 455 813.67186 	19.33 ± 0.64 	-4.559
10175 	13357 	7.65 	2011-09-09/04:19:53 	2 455 813.68257 	25.18 ± 0.66 	-4.796
10303 	13612B 	7.56 	2011-06-23/08:10:00 	2 455 735.84358 	-5.62 ± 0.58 	-4.959
11915 	16008 	8.62 	2011-09-09/04:43:03 	2 455 813.70187 	14.36 ± 0.76 	-4.880
14501 	19467 	6.97 	2011-09-09/05:16:19 	2 455 813.72526 	7.68 ± 0.95 	-4.999
14614 	19518 	7.84 	2011-06-23/08:40:44 	2 455 735.86506 	-27.44 ± 0.68 	-4.945
14623 	19632 	7.29 	2011-06-23/09:43:40 	2 455 735.90759 	40.98 ± 0.76 	-4.431
15527 	20782 	7.38 	2011-01-03/00:08:56 	2 455 564.50326 	40.39 ± 0.83 	-4.943
18844 	25874 	6.73 	2011-01-02/01:02:01 	2 455 563.54134 	34.84 ± 0.88 	-5.000
19911 	26990 	7.51 	2011-01-02/01:31:28 	2 455 563.56230 	-14.73 ± 0.80 	-4.620
21079 	28904 	8.26 	2011-01-02/01:54:42 	2 455 563.57813 	-6.05 ± 0.95 	-4.498
22263 	30495 	5.50 	2011-01-01/00:54:52 	2 455 562.53961 	22.23 ± 0.90 	-4.532
22395 	30774 	7.88 	2011-01-01/01:42:31 	2 455 562.57362 	17.61 ± 0.27 	-4.452
25670 	36152 	8.28 	2011-09-10/07:32:20 	2 455 814.81687 	-9.91 ± 0.15 	-4.896
28066 	39881 	6.60 	2011-01-04/02:20:33 	2 455 565.59924 	1.09 ± 0.88 	-5.004
29432 	42618 	6.87 	2011-01-01/02:14:31 	2 455 562.59521 	-53.67 ± 0.21 	-4.948
29525 	42807 	6.44 	2011-01-01/02:41:19 	2 455 562.61198 	6.08 ± 0.23 	-4.445
30037 	45021 	9.16 	2011-01-02/02:31:47 	2 455 563.60329 	49.79 ± 0.69 	-4.929
30158 	44665 	8.37 	2011-01-01/03:06:38 	2 455 562.63401 	44.57 ± 0.67 	-5.015
30344 	44821 	7.37 	2011-01-01/03:42:10 	2 455 562.65576 	14.66 ± 0.69 	-4.470
30476 	45289 	6.65 	2011-01-01/03:30:26 	2 455 562.64984 	57.11 ± 0.93 	-5.012
30502 	45346 	8.67 	2011-01-04/03:37:12 	2 455 565.65346 	45.53 ± 0.52 	-4.971
33094 	50806 	6.03 	2011-09-09/07:24:42 	2 455 813.80852 	72.75 ± 0.32 	-5.058
34511 	54351 	8.00 	2011-01-01/04:15:07 	2 455 562.68265 	42.91 ± 0.69 	-4.953
36512 	59711 	7.73 	2011-01-02/04:31:37 	2 455 563.69400 	8.45 ± 0.82 	-4.946
36515 	59967 	6.64 	2011-01-02/04:52:54 	2 455 563.70888 	9.74 ± 0.39 	-4.396
38072 	63487 	9.22 	2012-02-23/01:25:37 	2 455 980.55951 	58.54 ± 0.68 	-4.472
40133 	68168 	7.36 	2012-02-23/00:22:44 	2 455 980.51704 	9.40 ± 0.38 	-4.979
41317 	71334 	7.81 	2011-01-03/04:42:49 	2 455 564.70020 	18.26 ± 1.07 	-4.970
42333 	73350 	6.75 	2011-01-01/04:35:47 	2 455 562.69382 	35.30 ± 0.20 	-4.533
43297 	75302 	7.46 	2012-04-29/22:52:02 	2 456 047.45169 	10.50 ± 0.52 	-4.648
44713 	78429 	7.31 	2011-06-24/10:12:56 	2 455 736.92526 	65.39 ± 0.78 	-4.951
44935 	78534 	8.74 	2011-01-02/05:23:06 	2 455 563.72791 	-37.99 ± 0.79 	-4.993
44997 	78660 	8.35 	2012-02-23/02:34:17 	2 455 980.61100 	-10.68 ± 0.71 	-4.966
49756 	88072 	7.54 	2011-01-01/05:23:01 	2 455 562.72863 	-17.89 ± 0.48 	-4.962
54102 	96116 	8.65 	2011-01-02/05:41:19 	2 455 563.73977 	30.93 ± 0.61 	-4.719
54287 	96423 	7.23 	2012-02-23/03:23:58 	2 455 980.64507 	55.75 ± 0.97 	-5.008
54582 	97037 	6.81 	2011-01-04/07:20:48 	2 455 565.81150 	-15.12 ± 0.98 	-5.001
55409 	98649 	8.00 	2011-01-01/06:31:00 	2 455 562.77452 	3.61 ± 0.59 	-4.973
62039 	110537 	7.84 	2011-01-02/08:32:30 	2 455 563.86027 	36.38 ± 0.73 	-5.028
64150 	114174 	6.82 	2011-01-03/06:34:45 	2 455 564.77884 	24.08 ± 0.74 	-4.991
64673 	115031 	8.34 	2011-01-01/06:53:16 	2 455 562.78856 	69.11 ± 0.68 	-4.972
64713 	115169 	9.26 	2011-01-01/07:36:34 	2 455 562.82163 	20.27 ± 0.83 	-4.972
65708 	117126 	7.43 	2012-04-29/23:46:52 	2 456 047.49144 	-14.22 ± 0.76 	-5.021
67620 	120690 	6.44 	2011-09-09/05:32:36 	2 455 813.73608 	1.80 ± 0.59 	-4.797
68468 	122194 	9.39 	2011-01-04/07:59:38 	2 455 565.83670 	0.38 ± 0.77 	-5.022
69645 	124523 	9.41 	2011-01-03/01:30:00 	2 455 564.56251 	-3.68 ± 0.76 	-4.975
72043 	129814 	7.53 	2012-04-30/00:37:39 	2 456 047.52927 	6.01 ± 0.64 	-4.928
73241 	131923 	6.35 	2011-01-01/08:23:40 	2 455 562.84979 	32.90 ± 0.65 	-5.001
73815 	133600 	8.17 	2011-01-01/08:44:32 	2 455 562.86608 	3.93 ± 0.61 	-4.990
74389 	134664 	7.77 	2012-04-30/01:42:53 	2 456 047.57552 	7.61 ± 0.77 	-4.935
74432 	135101 	6.68 	2011-06-23/23:28:57 	2 455 736.47939 	-39.77 ± 0.71 	-5.042
76114 	138573 	7.23 	2011-09-09/06:01:22 	2 455 813.75575 	-36.47 ± 0.89 	-4.984
77052 	140538 	5.87 	2012-04-30/02:16:12 	2 456 047.59969 	17.93 ± 0.89 	-4.834
77883 	142331 	8.76 	2012-04-30/02:24:26 	2 456 047.60455 	-70.94 ± 0.66 	-4.990
79578 	145825 	6.53 	2012-05-01/00:14:06 	2 456 048.51514 	-21.20 ± 0.34 	-4.732
79672 	146233 	5.51 	2012-04-30/03:29:46 	2 456 047.65110 	10.98 ± 0.85 	-4.983
79715 	145927 	8.36 	2012-04-30/04:59:59 	2 456 047.71317 	14.12 ± 0.69 	-4.980
81746 	150248 	7.03 	2011-06-24/01:09:18 	2 455 736.55225 	67.26 ± 0.37 	-4.962
83276 	153631 	7.13 	2012-04-30/05:58:46 	2 456 047.75450 	88.46 ± 0.34 	-4.990
85042 	157347 	6.29 	2011-06-24/01:27:22 	2 455 736.56517 	-36.46 ± 0.57 	-5.014
87769 	163441 	8.44 	2012-04-30/04:20:30 	2 456 047.68563 	12.05 ± 0.70 	-4.953
89650 	167060 	8.94 	2011-01-03/02:04:59 	2 455 564.58823 	15.01 ± 0.61 	-4.997
95962 	183658 	7.28 	2012-04-30/04:40:53 	2 456 047.70009 	57.66 ± 0.62 	-4.985
96160 	183579 	8.69 	2011-06-24/02:18:52 	2 455 736.60066 	-15.86 ± 0.38 	-4.855
