HIP 	HD 	T eff 	σ(Teff) 	log g 	σ(log g) 	[Fe/H] 	σ( [Fe/H]) 	v t 	σ(vt) 	M 	σ(M) 	τ 	τ − σ 	τ + σ
		(K) 	(K) 	([cgs]) 	([cgs]) 	(dex) 	(dex) 	(km s-1) 	(km s-1) 	(M⊙) 	(M⊙) 	(Gyr) 	(Gyr) 	(Gyr) 
		
==============================================================================================================================


1954 	2071 	5717 	5 	4.46 	0.02 	−0.068 	0.006 	0.96 	0.02 	0.974 	0.007 	4.7 	3.9 	5.7
3203 	3821A 	5850 	10 	4.52 	0.02 	−0.087 	0.008 	1.16 	0.02 	1.034 	0.008 	0.8 	0.3 	1.6
4909 	6204 	5854 	10 	4.50 	0.02 	0.028 	0.008 	1.12 	0.02 	1.052 	0.007 	1.2 	0.0 	2.0
5301 	6718 	5728 	5 	4.42 	0.02 	−0.064 	0.004 	0.97 	0.01 	0.967 	0.005 	6.4 	5.7 	7.0
6407 	8291 	5764 	8 	4.52 	0.01 	−0.068 	0.007 	0.97 	0.02 	1.005 	0.005 	0.9 	0.6 	1.9
7585 	9986 	5831 	5 	4.43 	0.01 	0.095 	0.005 	1.02 	0.01 	1.060 	0.002 	3.3 	2.7 	3.7
8507 	11195 	5725 	6 	4.49 	0.02 	−0.096 	0.006 	0.99 	0.02 	0.978 	0.007 	3.6 	2.7 	4.5
9349 	12264 	5810 	8 	4.50 	0.02 	0.009 	0.007 	1.07 	0.02 	1.038 	0.010 	0.5 	0.3 	1.9
10175 	13357 	5738 	7 	4.51 	0.01 	−0.007 	0.005 	0.96 	0.01 	1.011 	0.005 	2.0 	1.0 	2.6
10303 	13612B 	5725 	4 	4.40 	0.01 	0.106 	0.004 	0.98 	0.01 	1.029 	0.003 	5.3 	4.6 	5.7
11915 	16008 	5760 	4 	4.46 	0.01 	−0.059 	0.004 	0.97 	0.01 	0.993 	0.005 	4.0 	3.4 	4.6
14501 	19467 	5728 	7 	4.29 	0.02 	−0.133 	0.005 	1.03 	0.01 	0.951 	0.004 	9.9 	9.5 	10.3
14614 	19518 	5784 	9 	4.42 	0.03 	−0.099 	0.008 	1.03 	0.02 	0.976 	0.008 	6.1 	4.8 	6.9
14623 	19632 	5769 	13 	4.52 	0.02 	0.106 	0.010 	1.15 	0.02 	1.051 	0.008 	1.1 	0.5 	1.8
15527 	20782 	5785 	5 	4.32 	0.01 	−0.051 	0.005 	1.05 	0.01 	0.993 	0.005 	7.8 	7.5 	8.1
18844 	25874 	5736 	5 	4.36 	0.02 	0.016 	0.004 	0.99 	0.01 	0.989 	0.003 	7.3 	6.9 	7.7
